"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"CAPTRU-RE",0.03,0.03,0.03,0.02,0.03,50,790539,23716.17,"-"
"ORBTEXP",203.99,214.36,202.15,178.64,214.36,20,83323,17659476.62,"13-Feb-2024"
"HBSL",91.47,109.76,91.47,91.47,109.25,19.44,458438,48241430.74,"02-Aug-2024"
"PAKKA",188.95,218.7,187.32,187.07,216.99,15.99,2869566,605191469.4,"22-Sep-2023"
"INDSWFTLTD",16.99,19.9,16.68,16.59,18.79,13.26,2751777,53852275.89,"23-Sep-2024"
"FIRSTCRY",340.3,382.5,337.1,339.15,380.25,12.12,28334212,10531259916.16,"-"
"SUPERSPIN",10.24,11.4,9.94,10.03,11.2,11.67,627330,6950816.4,"02-Aug-2024"
"ONWARDTEC",338,377.7,332,330.15,367.85,11.42,1821427,664037641.39,"12-Jul-2024"
"JAIBALAJI",117.5,132.81,116.68,117.17,130.15,11.08,19875302,2513033184.88,"17-Jan-2025"
"ISHANCH",52,59.9,51.9,51.96,57.5,10.66,362706,20877357.36,"-"
"CENTUM",2179.9,2376.8,2179.9,2160.8,2376.8,10,48494,111313127.6,"31-Jul-2024"
"MOBIKWIK",232,282.3,229.75,245.55,270.1,10,62178167,16263943142.19,"-"
"ABMINTLLTD",64.3,64.37,62.25,58.52,64.37,10,13830,884705.1,"12-Sep-2024"
"THOMASCOTT",352.8,366.65,342.1,333.35,366.65,9.99,267690,96885041.7,"20-Sep-2024"
"LLOYDSENGG",59.5,65.75,59.5,59.23,64.76,9.34,20391347,1292811399.8,"28-Apr-2025"
"DIACABS",118,128.28,117.2,116.62,127.45,9.29,16033476,2017492285.08,"03-Dec-2024"
"APARINDS",8097,8860,8097,8083,8804,8.92,389782,3363163826.24,"20-Aug-2024"
"GATECHDVR",0.95,1.01,0.95,0.92,1,8.7,1658366,1608615.02,"28-Apr-2025"
"ARENTERP",47.7,51.49,47.16,46.88,50.89,8.55,23619,1185673.8,"23-Sep-2024"
"RUBFILA",78,84.7,76.25,77.12,83.1,7.75,288302,23531209.24,"13-Sep-2024"
