"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"AKI",11.12,11.14,11.12,9.29,11.14,19.91,93336,1037896.32,"20-Sep-2024"
"JGCHEM",469.95,542,460.25,459.4,528.35,15.01,4540215,2302842450.15,"12-Sep-2024"
"MAZDA",300.2,337.77,296.1,290.54,334.09,14.99,1499293,486010818.88,"28-Jan-2025"
"JPPOWER",19.1,21.69,18.95,18.95,21.56,13.77,400848429,8389757618.97,"26-Aug-2024"
"PCJEWELLER",17.4,19.23,17.4,16.69,18.92,13.36,278470396,5199042293.32,"16-Dec-2024"
"EIFFL",253.75,288.8,252.3,251.75,280.3,11.34,55460,15213232.6,"20-Sep-2024"
"CAPTRU-RE",0.1,0.1,0.1,0.09,0.1,11.11,202625,20262.5,"-"
"KRN",814.75,912.5,806.5,816.7,904.8,10.79,2985780,2652626667.6,"-"
"RELAXO",480,515,475,464.75,512.75,10.33,4925796,2471567400.96,"22-Aug-2024"
"MOHITIND",28.81,31.69,28.81,28.81,31.69,10,115306,3590628.84,"23-Sep-2024"
"LOKESHMACH",232.5,232.61,232.5,211.47,232.61,10,15462,3595842.72,"20-Sep-2024"
"NDLVENTURE",65.11,70.88,65.1,64.44,70.88,9.99,41071,2876612.84,"06-Sep-2024"
"DGCONTENT",51,51,45.82,44.2,47.71,7.94,69716,3296172.48,"-"
"JITFINFRA",379,403.7,370.25,360.8,389,7.82,112246,44071146.98,"15-Jul-2024"
"BALAMINES",1798.9,1945,1786.8,1798.9,1939.2,7.8,234052,443055754.96,"04-Jul-2024"
"VSTL",156.49,171,155.22,155.91,167.62,7.51,164115,27231601.95,"19-Sep-2024"
"HNDFDS",541.3,584.1,535,538.45,577.7,7.29,514423,292207696.69,"17-Sep-2024"
"NOVAAGRI",49.54,53.35,49.06,49.03,52.42,6.91,889773,45654252.63,"12-Sep-2024"
"LOTUSEYE",72.5,79.35,71.76,71.87,76.81,6.87,128557,9950311.8,"18-Sep-2023"
"TARACHAND",71.01,76.98,70.99,69.25,74,6.86,567029,42181287.31,"07-Feb-2025"
